linear.x = 0, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.1
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.1
linear.x = 0, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.1
linear.x = 0, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.1
linear.x = 0, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.1
linear.x = 0, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.1
linear.x = 0, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.1
linear.x = 0, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.1
linear.x = 0, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.1
linear.x = 0, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.1
linear.x = 0, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.1
linear.x = 0, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.1
linear.x = 0, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.1
linear.x = 0, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.1
linear.x = 0, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.1
linear.x = 0, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.1
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0.1, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
linear.x = 0, linear.y = 0, linear.z =  0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0
